;Diplodus sargus;;Mullus surmuletus;
;Number_clusters;Value_Index;Number_clusters;Value_Index
KL;25;30.7813;26;14.8535
CH;3;2282.7923;2;2512.4214
Hartigan;3;1144.4432;3;878.5507
CCC;30;80.4602;28;125.2
Scott;11;4710.3447;9;9738.3182
Marriot;6;2.05E+84;5;6.78E+120
TrCovW;3;6.32658E+11;3;47269737187
TraceW;3;1664854.181;3;535292.149
Friedman;11;11.0913;23;10.0598
Rubin;27;-1.4514;12;-0.6085
Cindex;30;0.0998;28;0.1319
DB;3;0.9886;2;1.0662
Silhouette;3;0.4815;2;0.3889
Duda;2;0.9352;2;2.7296
PseudoT2;2;123.9766;2;-1155.7727
Beale;2;0.8148;2;-11.5602
Ratkowsky;11;0.1651;9;0.1744
Ball;3;1608916.261;3;710855.6397
PtBiserial;3;0.6613;7;0.5827
Frey;1;NA;1;NA
McClain;3;0.4305;2;0.4869
Dunn;5;0.0057;7;0.0069
Hubert;0;0;0;0
SDindex;3;0.1137;5;0.1765
Dindex;0;0;0;0
SDbw;30;0.0687;30;0.0975
